,TP,TN,FP,FN,TNR,NPV,FPR,FDR,Accuracy,Precision,Recall,F1
KNN,275,269,105,99,0.7192513368983957,0.7309782608695652,0.2807486631016043,0.27631578947368424,0.7272727272727273,0.7236842105263158,0.7352941176470589,0.7294429708222812
NaiveBayes,326,212,162,48,0.5668449197860963,0.8153846153846154,0.43315508021390375,0.3319672131147541,0.7192513368983957,0.6680327868852459,0.8716577540106952,0.7563805104408353
LogReg,280,277,97,94,0.7406417112299465,0.7466307277628033,0.25935828877005346,0.2572944297082228,0.7446524064171123,0.7427055702917772,0.7486631016042781,0.7456724367509987
SVM,288,269,105,86,0.7192513368983957,0.7577464788732394,0.2807486631016043,0.26717557251908397,0.7446524064171123,0.732824427480916,0.7700534759358288,0.7509778357235984
DecisionTree,326,216,158,48,0.5775401069518716,0.8181818181818182,0.42245989304812837,0.32644628099173556,0.7245989304812834,0.6735537190082644,0.8716577540106952,0.7599067599067599
RandomForest,292,268,106,82,0.7165775401069518,0.7657142857142857,0.28342245989304815,0.2663316582914573,0.7486631016042781,0.7336683417085427,0.7807486631016043,0.7564766839378239
XGBoost,290,270,104,84,0.7219251336898396,0.7627118644067796,0.27807486631016043,0.2639593908629442,0.7486631016042781,0.7360406091370558,0.7754010695187166,0.7552083333333334
LazyFCA,277,266,108,97,0.7112299465240641,0.7327823691460055,0.2887700534759358,0.2805194805194805,0.7259358288770054,0.7194805194805195,0.7406417112299465,0.7299077733860343
LazyFCAImproved,321,212,162,53,0.5668449197860963,0.8,0.43315508021390375,0.33540372670807456,0.7125668449197861,0.6645962732919255,0.8582887700534759,0.7491248541423571
